Species_Name,species_code,Species_name,Species,Stem_a,stem_b,Stem_c,Top_10_a,Top_10_b,Top_20_a,Top_20_b,Bark_stem_a,Bark_stem_b,bark_top_10a,bark_top_10_b,bark_top_20_a,bark_top_20_b,density,branch_s,branch_m,branch_l,foliage_s,foliage_m,foliage_l
Dysoxylum gobara,6265,Dysoxylum gobara(6265),Dysoxylum gobara,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Ehretia laevis,6269,Ehretia laevis(6269),Ehretia laevis,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Engelhardtia spicata,6278,Engelhardtia spicata (6278),Engelhardtia spicata,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,674,0.925,1.41,1.685,0.316,0.225,0.202
Eugenia jambolana,6651,"Eugenia jambolana (6651,6652)",Eugenia jambolana,-2.5693,1.8816,0.8498,5.1749,-2.3636,7.6807,-2.6648,-0.1451,-0.3617,0.2571,-0.4715,0.2314,-0.4654,770,0.4,0.4,0.4,0.07,0.05,0.04
EXTRA,,EXTRA,EXTRA,-2.7385,1.8155,1.0072,7.4617,-3.0676,8.5074,-2.8908,0.9782,-0.5657,0.8683,-0.5659,1.0878,-0.6197,689,0.52,0.186,0.168,0.064,0.035,0.033
Hymenodictyon excelsum,6349,Hymenodictyon excelsum(6349),Hymenodictyon excelsum,-2.585,1.9437,0.7902,5.5572,-2.496,6.825,-2.4603,0.4405,-0.4755,0.4562,-0.489,0.3869,-0.4728,513,0.4,0.4,0.4,0.07,0.05,0.04
Juniperus indica,6364,"Juniperus indica (6364,6365)",Juniperus indica,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,500,0.4,0.4,0.4,0.07,0.05,0.04
Lagerstroemia parviflora,6369,Lagerstroemia parviflora (6369),Lagerstroemia parviflora,-2.3411,1.7246,0.9702,5.3349,-2.4428,7.2637,-2.5282,0.6336,-0.6531,0.7698,-0.7061,0.5828,-0.6588,850,0.4,0.4,0.4,0.07,0.05,0.04
Lannea coromandelica,6370,Lannea coromandelica(6370),Lannea coromandelica,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Larix griffithiana,6371,"Larix griffithiana (6371,6372",Larix griffithiana,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,510,0.436,0.372,0.355,0.252,0.142,0.107
Litsea spp,6392,Litsea spp (6392-6402),Litsea spp,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,610,0.4,0.4,0.4,0.07,0.05,0.04
Lyonia spp,6405,Lyonia spp (6405-6406),Lyonia spp,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,674,0.879,0.709,0.67,0.506,0.714,0.85
Mallotus philippensis,6419,Mallotus philippensis(6419),Mallotus philippensis,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Michelia champaca,6436,Michelia champaca (6436-6442),Michelia champaca,-2.0152,1.8555,0.763,3.3499,-2.0161,6.7852,-2.4567,-0.1672,-0.4535,0.0244,-0.5005,0.2137,-0.5466,497,0.4,0.4,0.4,0.07,0.05,0.04
Miliusa velutina,6446,Miliusa velutina(6446),Miliusa velutina,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
OTHERS-2,OTHERS-2,Miscellaneous in Hill,OTHERS-2,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,674,0.4,0.4,0.4,0.07,0.05,0.04
OTHERS-1,OTHERS-1,Miscellaneous in Terai,OTHERS-1,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Myrica spp,6456,Myrica spp (6456),Myrica spp,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,750,0.524,0.59,0.605,0.17,0.16,0.155
Osbeckia stellata,5611,Osbeckia stellata(5611),Osbeckia stellata,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Phyllanthus emblica,6507,Phyllanthus emblica(6507),Phyllanthus emblica,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Pinus roxburghii,6513,Pinus roxburghii (6513),Pinus roxburghii,-2.977,1.9235,1.0019,6.2696,-2.8252,8.5662,-3.0486,1.1876,-0.7029,1.1763,-0.6997,1.2535,-0.7194,650,0.189,0.256,0.3,0.101,0.046,0.033
Pinus wallichiana,6514,Pinus wallichiana (6514/8300),Pinus wallichiana,-2.8195,1.725,1.1623,5.7216,-2.6788,8.1696,-2.8862,0.2438,-0.6214,0.4925,-0.6517,1.6781,-0.9544,400,0.683,0.488,0.41,0.403,0.238,0.18
Pyrus pashia,6556,Pyrus pashia (6556),Pyrus pashia,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,674,1.595,2.68,3.22,0.186,0.172,0.169
Quercus spp,6557,Quercus spp (6557-6568),Quercus spp,-2.36,1.968,0.7469,4.8511,-2.4494,7.0779,-2.5739,-0.4146,-0.4193,-0.4224,-0.4184,0.3842,-0.6149,860,0.747,0.96,1.06,0.229,0.215,0.202
Rhododendron spp,6570,Rhododendron spp (6570-6584),Rhododendron spp,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,640,0.544,0.91,1.135,0.277,0.225,0.212
Rhus spp,6585,Rhus spp (6585-6591),Rhus spp,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,674,0.601,0.63,0.64,0.143,0.083,0.08
Sapium insigne,6602,Sapium insigne(6602),Sapium insigne,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Schima wallichii,6609,Schima wallichii (6609),Schima wallichii,-2.7385,1.8155,1.0072,7.4617,-3.0676,8.5074,-2.8908,0.9782,-0.5657,0.8683,-0.5659,1.0878,-0.6197,689,0.52,0.186,0.168,0.064,0.035,0.033
Schleichera oleosa,6610,Schleichera oleosa(6610),Schleichera oleosa,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Semecarpus anacardium,6611,Semecarpus anacardium(6611),Semecarpus anacardium,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Shorea robusta,6615,Shorea robusta (6615),Shorea robusta,-2.4554,1.9026,0.8352,5.2026,-2.4788,8.156,-2.8365,0.1372,-0.4182,0.1448,-0.4202,0.1672,-0.4271,880,0.055,0.341,0.357,0.062,0.067,0.067
Tectona grandis,6659,Tectona grandis(6659),Tectona grandis,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Terminalia bellirica,6662,Terminalia bellirica(6662),Terminalia bellirica,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Terminalia chebula,6664,Terminalia chebula(6664),Terminalia chebula,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Terminalia tomentosa,6660,Terminalia tomentosa (6660),Terminalia tomentosa,-2.4616,1.8497,0.88,4.5968,-2.2305,7.4095,-2.6093,0.0572,-0.4114,0.0672,-0.4154,0.1515,-0.4299,950,0.4,0.4,0.4,0.07,0.05,0.04
Trewia nudiflora,6676,Trewia nudiflora(6676),Trewia nudiflora,-2.4585,1.8043,0.922,5.3475,-2.4774,7.448,-2.6313,-0.4918,-0.4689,-0.857,-0.3503,-0.6019,-0.4163,352,0.4,0.4,0.4,0.07,0.05,0.04
Tsuga spp,6678,Tsuga spp,Tsuga spp,-2.5293,1.7815,1.0369,5.2774,-2.6483,7.5935,-2.7629,-0.2186,-0.4796,-0.2181,-0.4797,-0.3266,-0.4464,450,0.436,0.372,0.355,0.252,0.142,0.107
